label,pair,lit_mean,unlit_mean,flash_gain,ratio_hp,diff_hp,glint_r,glint_l,glint_native_r,glint_native_l,surround,reflectance,face_px,exposure
print,1,131.0,3.9,33.957,0.1592,0.0979,1.84,1.58,1.80,1.61,0.497,2.0397,92,66
print,2,130.3,3.9,33.713,0.1591,0.0977,1.90,1.51,1.80,1.58,0.517,2.0246,91,66
print,3,131.0,3.9,33.885,0.1601,0.0980,1.84,1.59,1.69,1.61,0.507,2.0368,92,66
print,4,130.7,3.9,33.884,0.1610,0.0983,1.83,1.55,1.70,1.57,0.506,2.0330,92,66
print,5,131.3,3.9,33.858,0.1567,0.0964,1.90,1.59,1.59,1.59,0.504,2.0424,92,66
print,6,130.9,3.9,33.984,0.1599,0.0975,1.84,1.55,1.80,1.65,0.483,2.0435,92,66
print,7,131.2,3.9,33.973,0.1587,0.0983,1.82,1.54,1.68,1.63,0.500,2.0425,92,66
print,8,130.6,3.9,33.774,0.1596,0.0965,1.85,1.57,1.76,1.61,0.507,2.0307,93,66
print,9,130.5,3.9,33.794,0.1593,0.0991,1.85,1.52,1.77,1.59,0.495,2.0324,93,66
print,10,130.5,3.9,33.807,0.1596,0.0988,1.94,1.56,1.86,1.64,0.495,2.0386,93,66
print,11,129.8,3.9,33.567,0.1594,0.0972,1.74,1.55,1.65,1.64,0.503,2.0177,93,66
print,12,129.6,3.9,33.577,0.1596,0.0986,1.91,1.49,1.76,1.57,0.495,2.0129,94,66
print,13,130.6,3.9,33.873,0.1587,0.0968,1.84,1.53,1.68,1.61,0.508,2.0163,93,66
print,14,130.9,3.9,34.006,0.1607,0.0990,1.81,1.52,1.71,1.62,0.492,2.0371,93,66
print,15,131.9,3.9,34.175,0.1612,0.0996,1.69,1.47,1.84,1.44,0.516,2.0388,92,66
print,16,131.2,3.9,33.945,0.1633,0.0995,1.77,1.46,1.75,1.60,0.523,2.0173,92,66
print,17,128.8,3.9,33.314,0.1650,0.1006,1.79,1.51,1.77,1.41,0.519,1.9894,92,66
print,18,128.3,3.9,33.139,0.1630,0.1007,1.63,1.45,1.75,1.53,0.516,1.9671,94,66
print,19,129.0,3.9,33.355,0.1630,0.1001,1.69,1.47,1.85,1.57,0.502,1.9874,94,66
print,20,131.4,3.9,33.950,0.1588,0.0974,1.63,1.39,1.75,1.45,0.521,2.0134,93,66
print,21,133.3,3.9,34.526,0.1562,0.0952,1.68,1.41,1.70,1.41,0.520,2.0421,94,66
print,22,134.4,3.9,34.886,0.1542,0.0934,1.58,1.43,1.69,1.45,0.516,2.0519,92,66
print,23,133.6,3.9,34.632,0.1571,0.0957,1.72,1.45,1.80,1.46,0.489,2.0526,94,66
print,24,132.8,3.9,34.350,0.1569,0.0961,1.77,1.46,1.71,1.55,0.501,2.0534,93,66
print,25,132.0,3.9,34.156,0.1580,0.0968,1.63,1.47,1.73,1.40,0.501,2.0371,94,66
print,26,131.0,3.9,33.970,0.1608,0.0981,1.64,1.44,1.79,1.54,0.501,2.0189,94,66
print,27,129.9,3.9,33.622,0.1625,0.0989,1.73,1.42,1.77,1.49,0.518,2.0033,93,66
print,28,130.3,3.9,33.762,0.1610,0.0977,1.65,1.42,1.78,1.40,0.530,2.0102,92,66
print,29,130.3,3.9,33.787,0.1636,0.0987,1.74,1.46,1.83,1.56,0.524,2.0032,93,66
print,30,132.0,3.9,34.178,0.1586,0.0960,1.66,1.41,1.74,1.46,0.507,2.0318,93,66
print,31,132.7,3.9,34.376,0.1595,0.0966,1.75,1.44,1.75,1.51,0.502,2.0536,93,66
print,32,133.0,3.9,34.408,0.1565,0.0972,1.80,1.49,1.77,1.57,0.512,2.0586,92,66
print,33,133.5,3.9,34.517,0.1546,0.0954,1.66,1.49,1.69,1.56,0.506,2.0616,92,66
print,34,132.9,3.9,34.337,0.1567,0.0951,1.69,1.44,1.73,1.55,0.506,2.0308,92,66
print,35,130.8,3.9,33.906,0.1628,0.0990,1.61,1.50,1.78,1.51,0.503,2.0069,95,66
print,36,128.0,3.9,33.090,0.1663,0.1024,1.70,1.43,1.82,1.43,0.502,1.9692,96,66
print,37,126.6,3.9,32.710,0.1680,0.1023,1.63,1.35,1.71,1.43,0.531,1.9376,96,66
print,38,125.5,3.9,32.479,0.1675,0.1033,1.70,1.31,1.72,1.30,0.534,1.9114,95,66
print,39,125.5,3.9,32.389,0.1690,0.1043,1.65,1.36,1.68,1.29,0.521,1.9202,96,66
print,40,125.1,3.9,32.381,0.1685,0.1039,1.65,1.45,1.79,1.53,0.529,1.9180,95,66
print,41,126.3,3.9,32.694,0.1665,0.1025,1.67,1.41,1.87,1.40,0.518,1.9396,95,66
print,42,128.4,3.9,33.299,0.1662,0.1009,1.64,1.46,1.81,1.42,0.498,1.9780,95,66
print,43,129.8,3.9,33.693,0.1650,0.1005,1.66,1.45,1.82,1.46,0.498,1.9994,95,66
print,44,130.4,3.9,33.712,0.1617,0.0983,1.64,1.43,1.88,1.42,0.510,2.0139,93,66
print,45,130.9,3.9,33.884,0.1604,0.0987,1.66,1.48,1.79,1.43,0.492,2.0272,93,66
print,46,131.2,3.9,33.959,0.1626,0.0987,1.73,1.52,1.81,1.45,0.511,2.0234,92,66
print,47,130.0,3.9,33.761,0.1641,0.0982,1.68,1.47,1.77,1.42,0.509,1.9998,93,66
print,48,128.7,3.9,33.300,0.1647,0.1010,1.70,1.47,1.77,1.51,0.506,1.9897,95,66
print,49,128.2,3.9,33.276,0.1649,0.1013,1.64,1.45,1.80,1.47,0.498,1.9779,96,66
print,50,127.9,3.9,33.086,0.1660,0.1028,1.60,1.47,1.74,1.37,0.518,1.9605,96,66
print,51,129.2,3.9,33.532,0.1662,0.1010,1.65,1.46,1.80,1.43,0.513,1.9833,96,66
print,52,127.1,3.9,32.974,0.1668,0.1020,1.72,1.49,1.85,1.55,0.518,1.9596,94,66
print,53,127.7,3.8,33.182,0.1663,0.1020,1.62,1.47,1.82,1.41,0.526,1.9656,95,66
print,54,127.5,3.9,33.115,0.1659,0.1017,1.65,1.49,1.80,1.46,0.514,1.9510,96,66
print,55,126.6,3.9,32.785,0.1679,0.1024,1.64,1.47,1.80,1.43,0.515,1.9431,96,66
print,56,127.2,3.9,32.880,0.1662,0.1016,1.63,1.41,1.75,1.40,0.526,1.9526,95,66
print,57,126.8,3.9,32.916,0.1674,0.1016,1.62,1.43,1.71,1.41,0.536,1.9291,96,66
print,58,127.0,3.9,32.908,0.1664,0.1020,1.65,1.45,1.78,1.38,0.505,1.9525,97,66
print,59,127.0,3.9,32.903,0.1679,0.1020,1.67,1.43,1.76,1.39,0.512,1.9524,95,66
print,60,127.7,3.9,33.004,0.1666,0.1025,1.66,1.48,1.83,1.42,0.539,1.9610,95,66
print,61,131.2,3.8,34.095,0.1647,0.1001,1.65,1.41,1.75,1.47,0.505,2.0148,96,66
print,62,135.5,3.9,35.069,0.1594,0.0977,1.73,1.50,1.73,1.53,0.486,2.0817,96,66
print,63,144.7,3.9,37.487,0.1531,0.0940,1.65,1.52,1.64,1.53,0.444,2.2327,98,66
print,64,139.5,3.9,36.116,0.1553,0.0957,1.66,1.51,1.73,1.55,0.469,2.1345,97,66
print,65,131.8,3.9,34.184,0.1620,0.0992,1.71,1.56,1.78,1.56,0.510,2.0223,94,66
print,66,127.3,3.9,32.891,0.1635,0.1010,1.73,1.43,1.80,1.46,0.507,1.9660,94,66
print,67,128.9,3.9,33.429,0.1652,0.0999,1.62,1.49,1.78,1.53,0.490,2.0031,94,66
print,68,128.7,3.9,33.373,0.1645,0.1010,1.70,1.48,1.90,1.60,0.488,1.9897,95,66
print,69,129.7,3.9,33.620,0.1616,0.0983,1.66,1.44,1.80,1.39,0.512,1.9926,94,66
print,70,129.7,3.9,33.638,0.1613,0.0994,1.57,1.42,1.71,1.50,0.518,1.9933,95,66
print,71,130.1,3.9,33.689,0.1615,0.0985,1.60,1.49,1.80,1.58,0.498,2.0013,95,66
print,72,127.8,3.9,33.048,0.1629,0.1010,1.64,1.50,1.86,1.51,0.517,1.9779,95,66
print,73,127.4,3.9,33.051,0.1663,0.1009,1.63,1.35,1.68,1.32,0.519,1.9496,95,66
print,74,126.5,3.9,32.781,0.1648,0.1013,1.69,1.43,1.77,1.39,0.508,1.9310,96,66
print,75,126.6,3.9,32.742,0.1647,0.1014,1.69,1.47,1.67,1.43,0.534,1.9282,95,66
print,76,126.8,3.9,32.830,0.1661,0.1007,1.63,1.44,1.80,1.46,0.526,1.9333,95,66
print,77,128.0,3.9,33.231,0.1646,0.1002,1.67,1.34,1.76,1.33,0.530,1.9558,94,66
print,78,128.4,3.9,33.276,0.1647,0.1001,1.63,1.43,1.76,1.40,0.513,1.9674,95,66
print,79,128.6,3.9,33.238,0.1615,0.0994,1.61,1.47,1.78,1.49,0.504,1.9717,95,66
print,80,128.8,3.9,33.346,0.1607,0.0994,1.64,1.46,1.86,1.40,0.515,1.9700,96,66
print,81,127.5,3.9,32.949,0.1626,0.0998,1.67,1.43,1.85,1.49,0.524,1.9589,94,66
print,82,127.1,3.9,32.922,0.1650,0.1010,1.63,1.49,1.73,1.47,0.508,1.9435,96,66
print,83,126.4,3.9,32.784,0.1668,0.1018,1.64,1.38,1.78,1.33,0.509,1.9432,96,66
print,84,125.1,3.9,32.425,0.1665,0.1027,1.66,1.46,1.85,1.40,0.495,1.9294,97,66
print,85,124.3,3.9,32.210,0.1700,0.1041,1.80,1.44,1.78,1.48,0.512,1.9075,97,66
print,86,124.3,3.9,32.125,0.1666,0.1036,1.74,1.48,1.82,1.46,0.509,1.9070,96,66
print,87,124.5,3.9,32.199,0.1665,0.1032,1.67,1.38,1.83,1.31,0.501,1.9086,95,66
print,88,124.4,3.9,32.235,0.1687,0.1041,1.63,1.50,1.77,1.48,0.486,1.9304,98,66
print,89,124.6,3.9,32.219,0.1659,0.1031,1.62,1.50,1.82,1.37,0.487,1.9177,98,66
