label,pair,lit_mean,unlit_mean,flash_gain,ratio_hp,diff_hp,glint_r,glint_l,glint_native_r,glint_native_l,surround,reflectance,face_px,exposure
real,1,71.1,4.0,17.897,0.1241,0.0988,1.74,1.50,2.21,1.59,0.324,0.2845,87,267
real,2,70.7,4.0,17.791,0.1236,0.0987,1.65,1.53,2.30,1.57,0.325,0.2849,88,267
real,3,70.8,4.0,17.855,0.1269,0.0998,1.66,1.50,2.18,1.74,0.330,0.2842,87,267
real,4,66.2,4.0,16.617,0.1516,0.1133,1.65,1.71,1.76,1.83,0.363,0.2844,89,267
real,5,71.0,4.0,17.851,0.1221,0.0984,1.81,1.53,2.26,1.70,0.320,0.2839,87,267
real,6,71.0,4.0,17.885,0.1245,0.0983,1.89,1.52,2.23,1.61,0.319,0.2843,86,267
real,7,71.3,4.0,17.975,0.1202,0.0961,1.63,1.53,1.98,1.60,0.330,0.2832,87,267
real,8,71.0,4.0,17.870,0.1222,0.0968,1.77,1.53,2.02,1.64,0.328,0.2841,87,267
real,9,70.4,4.0,17.721,0.1260,0.0999,1.87,1.56,2.18,1.74,0.323,0.2843,87,267
real,10,71.1,4.0,17.905,0.1221,0.0983,1.97,1.87,2.31,2.06,0.313,0.2837,87,267
real,11,70.9,4.0,17.830,0.1237,0.0989,1.80,1.58,2.11,1.93,0.324,0.2844,87,267
real,12,71.3,4.0,17.961,0.1234,0.0980,1.73,1.53,2.15,1.73,0.319,0.2839,86,267
real,13,71.0,4.0,17.875,0.1248,0.0990,1.75,1.53,2.21,1.71,0.328,0.2835,87,267
real,14,71.2,4.0,17.928,0.1224,0.0983,1.78,1.52,2.15,1.60,0.313,0.2839,86,267
real,15,71.3,4.0,17.940,0.1225,0.0973,1.60,1.51,2.04,1.83,0.313,0.2836,87,267
real,16,70.8,4.0,17.808,0.1245,0.0991,1.76,1.69,2.05,1.86,0.331,0.2849,87,267
real,17,70.8,4.0,17.796,0.1227,0.0983,1.68,1.82,1.94,1.96,0.322,0.2849,87,267
real,18,71.0,4.0,17.889,0.1229,0.0978,1.79,1.54,2.01,1.79,0.327,0.2838,87,267
real,19,70.7,4.0,17.758,0.1224,0.0991,1.75,1.64,2.18,1.71,0.318,0.2843,87,267
real,20,71.1,4.0,17.887,0.1213,0.0980,1.76,1.58,2.11,1.79,0.319,0.2834,87,267
real,21,71.0,4.0,17.855,0.1223,0.0980,1.72,1.63,2.04,1.84,0.323,0.2836,87,267
real,22,71.0,4.0,17.882,0.1213,0.0971,1.65,1.51,2.10,1.60,0.319,0.2835,87,267
real,23,70.8,4.0,17.808,0.1236,0.0984,1.86,1.56,2.21,1.67,0.319,0.2843,87,267
real,24,71.2,4.0,17.906,0.1209,0.0979,1.92,1.56,2.34,1.81,0.318,0.2837,87,267
real,25,70.4,4.0,17.707,0.1275,0.1009,2.00,1.66,2.40,2.00,0.333,0.2838,87,267
real,26,70.6,4.0,17.725,0.1240,0.0994,1.69,1.67,2.33,2.02,0.319,0.2838,87,267
real,27,70.5,4.0,17.760,0.1263,0.0998,1.77,1.64,2.23,1.81,0.313,0.2839,87,267
real,28,71.1,4.0,17.888,0.1222,0.0980,1.82,1.53,2.06,1.65,0.312,0.2845,87,267
real,29,70.8,4.0,17.807,0.1241,0.0989,1.70,1.51,2.09,1.69,0.329,0.2836,87,267
real,30,71.3,4.0,17.955,0.1221,0.0972,1.80,1.52,2.11,1.70,0.322,0.2844,87,267
real,31,70.6,4.0,17.796,0.1263,0.0999,1.65,1.49,2.19,1.81,0.330,0.2839,87,267
real,32,71.2,4.0,17.946,0.1236,0.0978,1.68,1.48,2.48,1.93,0.319,0.2837,87,267
real,33,71.0,4.0,17.879,0.1225,0.0987,1.82,1.50,2.41,1.91,0.327,0.2844,86,267
real,34,70.6,4.0,17.722,0.1237,0.0997,1.73,1.52,2.04,1.66,0.328,0.2834,87,267
real,35,70.9,4.0,17.846,0.1228,0.0985,1.71,1.65,2.07,1.98,0.320,0.2837,87,267
real,36,70.5,4.0,17.795,0.1261,0.0998,1.71,1.64,2.25,2.01,0.310,0.2834,87,267
real,37,70.7,4.0,17.774,0.1234,0.0992,1.72,1.55,1.93,1.88,0.320,0.2835,87,267
real,38,70.0,4.0,17.607,0.1284,0.1010,1.80,1.56,2.23,1.83,0.330,0.2835,87,267
real,39,70.4,4.0,17.717,0.1275,0.1006,1.86,1.51,2.38,1.77,0.334,0.2832,87,267
real,40,71.3,4.0,17.932,0.1213,0.0977,1.66,1.50,2.21,1.54,0.326,0.2834,87,267
real,41,70.5,4.0,17.753,0.1266,0.1004,1.59,1.52,1.94,1.66,0.320,0.2839,87,267
real,42,71.1,4.0,17.889,0.1211,0.0969,1.79,1.52,1.92,1.66,0.320,0.2842,87,267
real,43,70.2,4.0,17.678,0.1266,0.1006,1.60,1.62,2.01,1.79,0.319,0.2848,87,267
